Formation,Plate_ID,Terrane,AgeUpper,AgeLower,AgeNominal,Q,N(n),Dec,Inc,a95,A95,Block,k,CPlat,CPlon,SLat,SLon,PLat,PLon,Reference,Comment
Elegest1,410,southern_terranes,428,416,422,,1(60),173.6,37.6,4,3.6,,,,,51.2,93.8,17.5,100.1,Bachtadse et al. (2000),from only one cooling unit
Krav10 - remag,410,Zavkhan_Baidrag,450,410,430,,6(34),28.2,-64.9,7.5,12.3,,,,,52.4,101.1,7,106.7,Kravchinsky (2010),remag with uncertain age. Given ~430 because of similarity to Evans+96 and apwp but is kept in geographic coordinates_裚maybe not reliable for paleolatitude
Teel magnetite,410,Zavkhan_Baidrag,449,443,446,,23,,,,5.2,,,,,47.1,95.38,-36.5,16,This study,
Bayan Gol Fm.,410,Zavkhan_Baidrag,542,360,451,3,1(174),333.1,-62.3,4.3,4.6,,,,,46.83,95.75,3.5,114.9,Evans et al. (1996),possible overprint? Superceded by Kravchinsky (2001)
Bayan Gol Fm.,410,Zavkhan_Baidrag,545,518,531.5,,6(49),118.3,-6.3,19,13.5,,,,,46.76,96.37,-21.4,167.1,Kravchinsky (2001),
"Khan-Tayshirskaya Suite, pre-folding, hem.",410,Zavkhan_Baidrag,545,518,531.5,,1(15),227.8,29.1,12.3,10.1,,,,,46.3,96.1,-14.7,48.6,(3045) Pechersky and Didenko (1995),
"Dykes and Pillow-Lavas, Khan-Tayshir mountains, comp. B, mag.",410,Zavkhan_Baidrag,545,518,531.5,,6(51),173,35,5,4.4,,,,,46.3,96.1,-24.1,103.3,(3045) Pechersky and Didenko (1995),
"Mongolian Gabbro, Khan-Tayshir mountains, tc-w-layers",410,Zavkhan_Baidrag,650,518,584,,3(18),146,35,5.4,4.7,,,,,46.3,96.1,-17.6,129.7,(3045) Pechersky and Didenko (1995),
"Layered complex of gabbro-pyroxenites,Urigal-Gol River, Naran Massif,  tc-w-layers",410,Zavkhan_Baidrag,650,518,584,,10(41),171,37,6,5.4,,,,,46.3,96.5,-22.6,105.6,(3045) Pechersky and Didenko (1995),
Cretaceous sites,,misc. north of N China,146,97,121.5,,6(54),6.8,58.5,4.7,5.7,,,,,44.5,118.5,82.9,249.5,(2526) Zhao et al. (1990) New paleomagnetic results from northern China: collision and suturing with Siberia and Kazakhstan,
Jurassic volcanics,,misc. north of N China,166,146,156,,24(171),205.4,-56.4,7.5,9.5,,,,,48,120,68.5,231.6,Zhao et al. (1990),
Permian Volcanics and Sediments,,misc. north of N China,256,245,250.5,,11(62),154.8,-22,7.9,6.8,,,,,42.8,118.9,51.9,341.7,Zhao et al. (1990),
Carboniferous Limestone,,misc. north of N China,323,290,306.5,,3(29),148.6,11.5,6.2,4.4,,,,,43.9,120.1,32.6,338.1,Zhao et al. (1990),
